0;147 = 0;GzmT1ngoGUKNUyybn9dJZjvhPTByvFkR7POmmQ5f;3qIgN626MMyXtDM2LZhv3HgmMVA5GgDwULONuJHP
0A6PpwQgL1V6O2b0u99hvpDYvcQCouo9HCdprxld;0 = 0;!3;!3
3qIgN626MMyXtDM2LZhv3HgmMVA5GgDwULONuJHP;28 = 0;!4;0A6PpwQgL1V6O2b0u99hvpDYvcQCouo9HCdprxld
GzmT1ngoGUKNUyybn9dJZjvhPTByvFkR7POmmQ5f;0 = 0;!4;!4
