0;127 = 0;qfvR1gdXGPFrA6I8QRbmz4EySgggfbwhW4ytX2qD;1f7CPsIPqrRwZTIXDNukaLENGSl8AcXith0GNpsg
Uhcp871mDCjLlSDrIZwp40es9sMOPXBIINYwBCvL;0 = 0;!4;!4
8ZqIlLOrCpxlsLsk3WhOdv3gwvyCHPnfJGmMeWW1;399 = 0;Uhcp871mDCjLlSDrIZwp40es9sMOPXBIINYwBCvL;!3
1f7CPsIPqrRwZTIXDNukaLENGSl8AcXith0GNpsg;21 = 0;!4;8ZqIlLOrCpxlsLsk3WhOdv3gwvyCHPnfJGmMeWW1
qfvR1gdXGPFrA6I8QRbmz4EySgggfbwhW4ytX2qD;0 = 0;!3;!3
