0;144 = 0;N2E2mWyobZC2skqh3HPBd8Z736OQ86ju9gGVu84p;ILk4bTlnqw2099xeyZXNaM7huXZO2DNGIczDjdTG
rphPYnewI6F5y5uEjXz0XSj9wReHGevLBNgKdAyi;0 = 0;!1;!1
yq7AWCspysPCDFVdsGYJlAP4gjV5a057bmshsYg0;399 = 0;!5;rphPYnewI6F5y5uEjXz0XSj9wReHGevLBNgKdAyi
ILk4bTlnqw2099xeyZXNaM7huXZO2DNGIczDjdTG;28 = 0;!0;yq7AWCspysPCDFVdsGYJlAP4gjV5a057bmshsYg0
N2E2mWyobZC2skqh3HPBd8Z736OQ86ju9gGVu84p;0 = 0;!3;!3
