0;200 = 0;kUkdKXDmVIce8t7FwOxnJc8piEvDLzD1evmyMDnw;9G9mS5A5vIX6Bc32DLd5KRwu4NXGkGUDU18lwJ1P
9G9mS5A5vIX6Bc32DLd5KRwu4NXGkGUDU18lwJ1P;399 = 0;fonUyP8D1Kb0dfaWdcUBvJhvdLvvDvEIIQEZyeUv;BgRaPi9GvuTtPe9glySBVgEZbIAM7TuBekjblnIs
K40e0j6xdOsmSArqyd9gtFvOVRjhFzywbbEAy6Yp;0 = 0;!2;!2
BgRaPi9GvuTtPe9glySBVgEZbIAM7TuBekjblnIs;48 = 0;K40e0j6xdOsmSArqyd9gtFvOVRjhFzywbbEAy6Yp;!4
fonUyP8D1Kb0dfaWdcUBvJhvdLvvDvEIIQEZyeUv;21 = 0;!5;!5
kUkdKXDmVIce8t7FwOxnJc8piEvDLzD1evmyMDnw;0 = 0;!2;!2
