0;49 = 0;wYLdNNcHuENUIWZCatEUfekVbO5r5pEjppmwB7bb;FX7c9aKYDoEpoR2durHJRhXpJ75ZpDmIOtsTEOti
4Zx75gR8JLwAjSIrbX8FjQcN38ujMG2bLZAsKLaN;59 = 0;!1;!1
FX7c9aKYDoEpoR2durHJRhXpJ75ZpDmIOtsTEOti;22 = 0;!5;4Zx75gR8JLwAjSIrbX8FjQcN38ujMG2bLZAsKLaN
wYLdNNcHuENUIWZCatEUfekVbO5r5pEjppmwB7bb;0 = 0;!5;!5
