0;106 = 0;BTFHY5RJEHpHU5KRq2vIxUGhRqzYxmi5K6mHo2kG;ylL3DzP1RsGw0iOhISnHIIio311H8PVoiHTOnnhe
J0BkHtmyHZBSEnT2tni7chHcaqDCcustVMYAaA9j;0 = 0;!4;!4
bgVjfxNJ6hpAGPfJme0mdqLvR7o4qOj6wJxpANgX;28 = 0;J0BkHtmyHZBSEnT2tni7chHcaqDCcustVMYAaA9j;!1
ylL3DzP1RsGw0iOhISnHIIio311H8PVoiHTOnnhe;34 = 0;!2;bgVjfxNJ6hpAGPfJme0mdqLvR7o4qOj6wJxpANgX
BTFHY5RJEHpHU5KRq2vIxUGhRqzYxmi5K6mHo2kG;0 = 0;!2;!2
