0;16 = 0;iGWIeY14cbARZrWFJiqxW93JBPMxqbD6FyLGUiyj;7YX9Sf9dzLH6AyFqZAWGpBIr4HX9PQq9BDt7ECYQ
bwwwcp4IuvlzGDEwx2gTpH7WuttKHKnjP2OqEY08;0 = 0;!4;!4
B1EXtINBcwUY8r2BjHdB8FXvT9BHPpes886Wdllq;25 = 0;!3;bwwwcp4IuvlzGDEwx2gTpH7WuttKHKnjP2OqEY08
r9OagRfVW6JblJEhH3QAzP50nwvM0e4sdioARH0V;115 = 0;!2;B1EXtINBcwUY8r2BjHdB8FXvT9BHPpes886Wdllq
7YX9Sf9dzLH6AyFqZAWGpBIr4HX9PQq9BDt7ECYQ;405 = 0;!3;r9OagRfVW6JblJEhH3QAzP50nwvM0e4sdioARH0V
iGWIeY14cbARZrWFJiqxW93JBPMxqbD6FyLGUiyj;0 = 0;!3;!3
