0;38 = 0;AOLadWHFtPeBgQDmbGYVatEJhfZiKNKaaq1TmCWz;PPvIg4WF6BSQwuVDrkkTpvvAGhG5kFDRxvtncfMr
PPvIg4WF6BSQwuVDrkkTpvvAGhG5kFDRxvtncfMr;0 = 0;!2;!2
AOLadWHFtPeBgQDmbGYVatEJhfZiKNKaaq1TmCWz;0 = 0;!5;!5
