0;172 = 0;114fbQAU04BFcDjQHE0T2MFJwX3kI5Oi3ZMpH4Zh;eQkygRa7u29HdNXz2cIKNVTS3fknCkNYwh475wBg
oeWHmXzZRd52OGpVLB8DLjiys2H8IRgA1ntkNy8j;0 = 0;!2;!2
8ZXXpgyEmNp7sONWVcDGAkcUdNiLCbSgKX242D8I;35 = 0;oeWHmXzZRd52OGpVLB8DLjiys2H8IRgA1ntkNy8j;!5
eQkygRa7u29HdNXz2cIKNVTS3fknCkNYwh475wBg;399 = 0;!0;8ZXXpgyEmNp7sONWVcDGAkcUdNiLCbSgKX242D8I
114fbQAU04BFcDjQHE0T2MFJwX3kI5Oi3ZMpH4Zh;0 = 0;!5;!5
