0;146 = 0;rFCgbPquOuTYIfC87hACxD7rdv8ZMK1XgycrFtsZ;Av7HkKoDM1mIlOG2xnpfXrz9xBxWcsvTztF3SgCT
mKsmBF2zFEeZPWpVI8VV0iSSv11foaAYtuvvShIW;26 = 0;!2;!2
tOvc6AWCP5fEwXgQ9xBCeeeitptZjm1NKc7gvIEX;21 = 0;!4;mKsmBF2zFEeZPWpVI8VV0iSSv11foaAYtuvvShIW
XUQHbMzBOGo3vTLJ2p7mUS1x3RfutBSKhjMvRr8q;35 = 0;!2;tOvc6AWCP5fEwXgQ9xBCeeeitptZjm1NKc7gvIEX
hNvgbT34ysyP1QvjCL85x1f2rb0cyPcD9b45DB5h;25 = 0;!3;XUQHbMzBOGo3vTLJ2p7mUS1x3RfutBSKhjMvRr8q
Av7HkKoDM1mIlOG2xnpfXrz9xBxWcsvTztF3SgCT;399 = 0;!3;hNvgbT34ysyP1QvjCL85x1f2rb0cyPcD9b45DB5h
rFCgbPquOuTYIfC87hACxD7rdv8ZMK1XgycrFtsZ;0 = 0;!4;!4
