0;392 = 0;tmkyUQV07dANQcz0dPKhksuJr3hNGdOqFxnU119A;78DgVIx2NFEIhO3gzcQE0nK4pot7TOq4Z1pEnmOF
IK24pXJvUZdzNt0ePtEsseNiIvvovleEvQbLhYqU;59 = 0;!1;!1
78DgVIx2NFEIhO3gzcQE0nK4pot7TOq4Z1pEnmOF;32 = 0;!5;IK24pXJvUZdzNt0ePtEsseNiIvvovleEvQbLhYqU
tmkyUQV07dANQcz0dPKhksuJr3hNGdOqFxnU119A;0 = 0;!5;!5
