0;200 = 0;jLCYGtT07LmUT56ZmZkyS80Rl7vyybv1HAffo6X0;GbPtQLdXScE7ljhCyiMeX5zJh6z8hPGwHuBAuVMd
evOMFqZlYu8aO45KJZM12M3WJGMt3QUnAlbL2VHN;26 = 0;!2;!2
GbPtQLdXScE7ljhCyiMeX5zJh6z8hPGwHuBAuVMd;21 = 0;!5;evOMFqZlYu8aO45KJZM12M3WJGMt3QUnAlbL2VHN
jLCYGtT07LmUT56ZmZkyS80Rl7vyybv1HAffo6X0;0 = 0;!5;!5
