0;111 = 0;HyNUrP9oqO7QSjkOiyDloDU9ImXZl40TGA76NEk8;SWzuk3KEHaZV7hm2Q6fSDfP2cgro41phvwC9n9mh
cZufJ6vWtGv8gnreL12SbHq7VAue1BcndrWFSF3j;26 = 0;!3;!3
4DTuGZY5xftB2wJ7aokWV1LbfSpAfZAsfoFuBmYe;28 = 0;!1;cZufJ6vWtGv8gnreL12SbHq7VAue1BcndrWFSF3j
SWzuk3KEHaZV7hm2Q6fSDfP2cgro41phvwC9n9mh;21 = 0;!2;4DTuGZY5xftB2wJ7aokWV1LbfSpAfZAsfoFuBmYe
HyNUrP9oqO7QSjkOiyDloDU9ImXZl40TGA76NEk8;0 = 0;!1;!1
