0;237 = 0;14d9lB298XFk5ZEzfdoB5SUKYlRFsCjoFuJQE1MK;rSLC27lGGfymHr1pKEnmChJJpswT6OZDCdUzGbqY
rWksbp2nx1C0XQvJoZT1XJRU070Fmg77gkOcydui;32 = 0;!2;!4
pLh9eNCuhOhC6d3x3FoHz7Roh9wll6DIU8XfQySU;21 = 0;!4;rWksbp2nx1C0XQvJoZT1XJRU070Fmg77gkOcydui
36R7s4Tvw5wrWnvUZyrRRC29MmEfcKyAIVpinvc0;25 = 0;!3;pLh9eNCuhOhC6d3x3FoHz7Roh9wll6DIU8XfQySU
EH1vuurs7Ssi336dBPghFgtoFQqfHyKxrvH3o6pP;399 = 0;!3;36R7s4Tvw5wrWnvUZyrRRC29MmEfcKyAIVpinvc0
rSLC27lGGfymHr1pKEnmChJJpswT6OZDCdUzGbqY;392 = 0;!2;EH1vuurs7Ssi336dBPghFgtoFQqfHyKxrvH3o6pP
14d9lB298XFk5ZEzfdoB5SUKYlRFsCjoFuJQE1MK;0 = 0;!4;!4
