0;80 = 0;YrV5X68ydfKq7w42jq2SaQJbsgAefBsl80MLRI0i;dKKf3ZAQvfdxw2mGNB9hf5d4ji53xQUGjP0FZ8Xb
Xm8gNz5Te18QsFuMAE7QBMYVKqHgZBUkGqF0sRjX;0 = 0;!4;!4
nIwiNOTDAdoeF4zNAhFL9kBGNS56HiQLGNFI3Huq;25 = 0;!3;Xm8gNz5Te18QsFuMAE7QBMYVKqHgZBUkGqF0sRjX
2g9uxRMWDG6W4BLzedVDfXSCvRDPcGIa8M1zlHBl;115 = 0;!2;nIwiNOTDAdoeF4zNAhFL9kBGNS56HiQLGNFI3Huq
dKKf3ZAQvfdxw2mGNB9hf5d4ji53xQUGjP0FZ8Xb;36 = 0;!3;2g9uxRMWDG6W4BLzedVDfXSCvRDPcGIa8M1zlHBl
YrV5X68ydfKq7w42jq2SaQJbsgAefBsl80MLRI0i;0 = 0;!3;!3
