0;288 = 0;UuXIfE7ph0UfvZBPJH5A8XVAutTIbE0KLJXH2CMl;Gat3aBZuelVTggBGehUzgZjaM3pPoTEdOFc30CQy
WVRBPM5xd9VnC8Ft9fX8PdOXlP8tUNmdB1yG9558;32 = 0;!2;!4
Tq9a5u0vTifwKdXL6CsLusKP3AtCxwPAEf6WOMpD;21 = 0;!4;WVRBPM5xd9VnC8Ft9fX8PdOXlP8tUNmdB1yG9558
BBAeGN3blhdADeBRGF7Cj8mSYzuof9l3tZ0kv6Op;392 = 0;!2;Tq9a5u0vTifwKdXL6CsLusKP3AtCxwPAEf6WOMpD
Ea4Q8x4gp0mPVHMtRW4tD1nHW6tXkMatRMK5B6mp;25 = 0;!3;BBAeGN3blhdADeBRGF7Cj8mSYzuof9l3tZ0kv6Op
Gat3aBZuelVTggBGehUzgZjaM3pPoTEdOFc30CQy;399 = 0;!3;Ea4Q8x4gp0mPVHMtRW4tD1nHW6tXkMatRMK5B6mp
UuXIfE7ph0UfvZBPJH5A8XVAutTIbE0KLJXH2CMl;0 = 0;!4;!4
