0;127 = 0;MY0Kwzcgpx3JG3eRvwtTVkOH1xLp3stLalidLwUX;2JBx8hsXNOpFSoJDtNT1G30R3PEc1jrQWdewD0AR
rYRuQN1DEQwPHvtfF2fVpgo8aH9rP6MzZfNvPmu0;0 = 0;!2;!2
2JBx8hsXNOpFSoJDtNT1G30R3PEc1jrQWdewD0AR;21 = 0;!1;rYRuQN1DEQwPHvtfF2fVpgo8aH9rP6MzZfNvPmu0
MY0Kwzcgpx3JG3eRvwtTVkOH1xLp3stLalidLwUX;0 = 0;!1;!1
