0;40 = 0;vfy3kOLkp6QoQKB8fQMxXhunAQWU0WAXeWejvFuu;VY1KqQUhHpFEWAzsrNoh3rIv6MmEKy2aL1UiukMC
yeyMWkL0ZNb0gunhORG32X8zcTeTHlyzEOdpUwmK;34 = 0;!3;!3
xDvyrLLsIlUw8TNPw9Q95hEn8vxkJ97BPwdlvCyN;395 = 0;!4;yeyMWkL0ZNb0gunhORG32X8zcTeTHlyzEOdpUwmK
VY1KqQUhHpFEWAzsrNoh3rIv6MmEKy2aL1UiukMC;23 = 0;!4;xDvyrLLsIlUw8TNPw9Q95hEn8vxkJ97BPwdlvCyN
vfy3kOLkp6QoQKB8fQMxXhunAQWU0WAXeWejvFuu;0 = 0;!3;!3
