0;48 = 0;yufYcUDEkPAGnpe4yPDdJGjn3a65WDGH15KWVdTP;WURlWihpy7itJIBw1Jf6vjwVegnNlLRj0t30mGfq
gUJ9Hic95XCrDcV8hEJKUXF8BLFs59kD7dQcxfev;26 = 0;!3;!1
WURlWihpy7itJIBw1Jf6vjwVegnNlLRj0t30mGfq;32 = 0;!2;gUJ9Hic95XCrDcV8hEJKUXF8BLFs59kD7dQcxfev
yufYcUDEkPAGnpe4yPDdJGjn3a65WDGH15KWVdTP;182 = 0;!1;!1
