0;49 = 0;HltOJb8qO1URSfNqPKMf6lg67XiwhNOJTkWJYiv0;gkue47U9mQBgMtuQu2HIshGM2eiN7M0SUmpzuRF3
1efkLYhUtW4L6jVZgfgptwNIVxQdIiFYXpNKzWBk;32 = 0;j187IR0wVmD0BLvpSILwlSGAENrmOAXI3OyB3FA5;WPPn8uzLEpdMggi0fN3TaJDICyMl6KHdzGV28MWO
WPPn8uzLEpdMggi0fN3TaJDICyMl6KHdzGV28MWO;0 = 0;!3;!3
j187IR0wVmD0BLvpSILwlSGAENrmOAXI3OyB3FA5;0 = 0;!4;!4
KCSlsquFP0srNFDwtWsi6CL2aLAmQ77kvtGYr2ve;397 = 0;!0;1efkLYhUtW4L6jVZgfgptwNIVxQdIiFYXpNKzWBk
SkKo0iVjZk185tBAbEubHHpcaY744HMdJIsOgufl;399 = 0;!3;KCSlsquFP0srNFDwtWsi6CL2aLAmQ77kvtGYr2ve
gkue47U9mQBgMtuQu2HIshGM2eiN7M0SUmpzuRF3;21 = 0;!3;SkKo0iVjZk185tBAbEubHHpcaY744HMdJIsOgufl
HltOJb8qO1URSfNqPKMf6lg67XiwhNOJTkWJYiv0;0 = 0;!4;!4
