0;90 = 0;jTILR9uUTIaScwvHWlmj5NbzIpHiizQZi89kIFiQ;7om42lBGbAnwJTlZXkUpgSmuuRIbjlKntnpqYngi
YmQUaz0kUGYHPXsHbX5awZ69o3JbNsMKCs5bq1l3;0 = 0;!2;!2
kDiULLPqsS3jFi1W7dtMz2Th5eKcb92V3VHwdKp2;36 = 0;!1;YmQUaz0kUGYHPXsHbX5awZ69o3JbNsMKCs5bq1l3
7om42lBGbAnwJTlZXkUpgSmuuRIbjlKntnpqYngi;33 = 0;!3;kDiULLPqsS3jFi1W7dtMz2Th5eKcb92V3VHwdKp2
jTILR9uUTIaScwvHWlmj5NbzIpHiizQZi89kIFiQ;0 = 0;!1;!1
