0;142 = 0;MQrNiC06yw46TJ8lobClewQwpd64F7kxu20pI6OC;MVuOG6GDTm8QU3gdjzN6iRvhIStZqFaeTEPObPaK
MVuOG6GDTm8QU3gdjzN6iRvhIStZqFaeTEPObPaK;0 = 0;!2;!2
MQrNiC06yw46TJ8lobClewQwpd64F7kxu20pI6OC;0 = 0;!1;!1
