auUUwPUHwL2WEAQKC4Qe4XHdKWxNhbMcyXsm9fcK;380 = 0;60NuwQcdqLGx26dB6g5n0iCv2QI6vouJPdbG0tT0;FPzaS0HaAFr7wgPXYfJiPrR9FfQdVbQSEXuaQWaI
dkbkBVJv2728G3uku3K5zkmdYGnKCWoovX9G3ryS;0 = 0;!0;!0
FPzaS0HaAFr7wgPXYfJiPrR9FfQdVbQSEXuaQWaI;35 = 0;!1;dkbkBVJv2728G3uku3K5zkmdYGnKCWoovX9G3ryS
60NuwQcdqLGx26dB6g5n0iCv2QI6vouJPdbG0tT0;0 = 0;!0;!0
0;26 = 0;auUUwPUHwL2WEAQKC4Qe4XHdKWxNhbMcyXsm9fcK;!0
