0;139 = 0;KOvIqfEV34e2Fel2UM736aFVkrB9mZ76GeurKXxK;i6orOi1Hnyjm6spJeK70GNoGvplVmyhPOll4HN9N
TTpZqWbc1NZtyONOUEaChrITsQb0XQ85fZJa0sTx;0 = 0;!3;!3
j692L6FIJDqSz8uvKdQWmGqecqit5D5KseGu6bkQ;232 = 0;!3;TTpZqWbc1NZtyONOUEaChrITsQb0XQ85fZJa0sTx
sXIgY9rpiXj099jGX3nvJk7kIlsm1asVShLYqSaa;261 = 0;!4;j692L6FIJDqSz8uvKdQWmGqecqit5D5KseGu6bkQ
i6orOi1Hnyjm6spJeK70GNoGvplVmyhPOll4HN9N;28 = 0;!3;sXIgY9rpiXj099jGX3nvJk7kIlsm1asVShLYqSaa
KOvIqfEV34e2Fel2UM736aFVkrB9mZ76GeurKXxK;0 = 0;!3;!3
