0;239 = 0;aeuQqEJlLuP8z58yGVuOYSaVgxatJ8RLLwMYREBI;4uTZFJGXXmbwMN0IDy1QQqqs6uC5l7pJN8JTO5iY
mChxikzMVNyC6Han1jY6WZhaY5nQfcEHB9Akrkeg;0 = 0;!3;!3
B7qW150u2ldnqGtcklAvETTrSLHjtf5cnYJ12O8Y;197 = 0;!4;mChxikzMVNyC6Han1jY6WZhaY5nQfcEHB9Akrkeg
XiRpu2CgUKB5bTaW34iPKeyZUqp4AvNjVCyUqmx8;35 = 0;!3;B7qW150u2ldnqGtcklAvETTrSLHjtf5cnYJ12O8Y
4uTZFJGXXmbwMN0IDy1QQqqs6uC5l7pJN8JTO5iY;21 = 0;!2;XiRpu2CgUKB5bTaW34iPKeyZUqp4AvNjVCyUqmx8
aeuQqEJlLuP8z58yGVuOYSaVgxatJ8RLLwMYREBI;0 = 0;!3;!3
