0;407 = 0;ZnT2ZfX92hfKkAIegVtNlMND8SREDh32q5Bhga20;A4Ja4qXTgNbOvlToFTb1pUqM7Zld8CL8VYx2nPQ4
CfgPGjbvPxqQw4IvoZztsOqlX8ZAAM37SO64nirG;22 = 0;!3;!2
3jIRmmGCSij5OjF3bNyC6BdAhLsjeQ2PNAdoZSZI;34 = 0;!1;CfgPGjbvPxqQw4IvoZztsOqlX8ZAAM37SO64nirG
A4Ja4qXTgNbOvlToFTb1pUqM7Zld8CL8VYx2nPQ4;36 = 0;!5;3jIRmmGCSij5OjF3bNyC6BdAhLsjeQ2PNAdoZSZI
ZnT2ZfX92hfKkAIegVtNlMND8SREDh32q5Bhga20;0 = 0;!4;!4
