0;400 = 0;3qG1nCVkYYXku3RV6S9STsfYVaNEPXUPB48Xf8Qe;xlIVrGuSudCJLxV0ua695h0CtV9OsCB3NwtD4Nhd
waSdqWHFNcdrjHZznHW6GQ4doaNVfMmsdGypg1Aa;0 = 0;!2;!2
xlIVrGuSudCJLxV0ua695h0CtV9OsCB3NwtD4Nhd;21 = 0;!1;waSdqWHFNcdrjHZznHW6GQ4doaNVfMmsdGypg1Aa
3qG1nCVkYYXku3RV6S9STsfYVaNEPXUPB48Xf8Qe;0 = 0;!1;!1
