0;141 = 0;Eoru5JUd9pREhKKrscpespnNa5cbarbfkyWrMfj6;8eDkIsLhSasqVoACxROgzKpf97VMkI8yFnHIfuW6
CyMwkhloEX0vfejXmXvNMoDYhRmmPHDHMrsnGOpV;26 = 0;hR5erhyOYHZTyWkvBU5FZ7HPHeDapmOBJoLssGsG;zT07yQuwm5NuO9B1SPanm6oHqZ7UE2iMCADpaYgk
zT07yQuwm5NuO9B1SPanm6oHqZ7UE2iMCADpaYgk;0 = 0;!2;!2
hR5erhyOYHZTyWkvBU5FZ7HPHeDapmOBJoLssGsG;0 = 0;!1;!1
8eDkIsLhSasqVoACxROgzKpf97VMkI8yFnHIfuW6;197 = 0;!4;CyMwkhloEX0vfejXmXvNMoDYhRmmPHDHMrsnGOpV
Eoru5JUd9pREhKKrscpespnNa5cbarbfkyWrMfj6;0 = 0;!4;!4
