0;42 = 0;BJEnGJb8SCevO7H37FNQegwo5hBwu7GFWiP5Y8xo;XIriDX0xYw8SDXqZxFj8NwiObEhIqVaZ3RnP6DEX
kiwSWW9G9hx7BB8L3W3156INXaCUXRCDcc8cjPrF;0 = 0;!3;!3
gxhwr6DM6X2xj7EbIBeaL74Na0WPv0UDaRWz7qAC;232 = 0;!5;kiwSWW9G9hx7BB8L3W3156INXaCUXRCDcc8cjPrF
XIriDX0xYw8SDXqZxFj8NwiObEhIqVaZ3RnP6DEX;32 = 0;!1;gxhwr6DM6X2xj7EbIBeaL74Na0WPv0UDaRWz7qAC
BJEnGJb8SCevO7H37FNQegwo5hBwu7GFWiP5Y8xo;0 = 0;!5;!5
