0;73 = 0;MrdFKcq2LM6LngXPFwoZjE9hIsrAxasYOEZTXW76;DKYN8B7C8xVC3UvbTFs3icdlITeXptUPoFwg9nxj
JpHUmrWaERaMGur8AQyHmmvBwOPrtCHneNqP7Hp3;0 = 0;!3;!3
fb3qC64L35i604jGbrVuG07gynVScxdmcGJQgQ2Z;48 = 0;!4;JpHUmrWaERaMGur8AQyHmmvBwOPrtCHneNqP7Hp3
DKYN8B7C8xVC3UvbTFs3icdlITeXptUPoFwg9nxj;21 = 0;!2;fb3qC64L35i604jGbrVuG07gynVScxdmcGJQgQ2Z
MrdFKcq2LM6LngXPFwoZjE9hIsrAxasYOEZTXW76;0 = 0;!3;!3
