0;96 = 0;wTTkLaOmuwAkmXZzjEtrAONP7g0iCwoyXujJoBTe;EG5qrUsoNxnZda0n6YWEuIjjUCa8N3xbBGc5UM90
LaKrDPyBWUUypKssGc4FEPMqmgYm4ib2MXR6alHC;32 = 0;!2;!4
DxMoIKPoz6EX0dTe5IcxMBmJSHCVamHp01xWY8zH;399 = 0;!3;LaKrDPyBWUUypKssGc4FEPMqmgYm4ib2MXR6alHC
80dG3Dw0a7J1qu1duFoyiImwPQWftM4JSsDp4MaC;25 = 0;!3;DxMoIKPoz6EX0dTe5IcxMBmJSHCVamHp01xWY8zH
EG5qrUsoNxnZda0n6YWEuIjjUCa8N3xbBGc5UM90;392 = 0;!2;80dG3Dw0a7J1qu1duFoyiImwPQWftM4JSsDp4MaC
wTTkLaOmuwAkmXZzjEtrAONP7g0iCwoyXujJoBTe;0 = 0;!4;!4
