0;98 = 0;2S5kRqIshtqOJ29SAx3r8FExiN17NxJO3hOTIyRC;k7SgVYUJyf65AoTgVQEiJph9smD7SvXvj9LvulE0
KVPlgZL89UXGl88PUVt6xTY8DjACdJsbGPfwy4c6;0 = 0;!4;!4
e8kyIag8dpZ1Re4k5Qc5dxN1yvFVQm9G3RreATgn;22 = 0;!5;KVPlgZL89UXGl88PUVt6xTY8DjACdJsbGPfwy4c6
m3NMZ4aiZXI1uCdyVqmzhpKorSGlrJY1luIGbM1g;397 = 0;!3;e8kyIag8dpZ1Re4k5Qc5dxN1yvFVQm9G3RreATgn
k7SgVYUJyf65AoTgVQEiJph9smD7SvXvj9LvulE0;48 = 0;!5;m3NMZ4aiZXI1uCdyVqmzhpKorSGlrJY1luIGbM1g
2S5kRqIshtqOJ29SAx3r8FExiN17NxJO3hOTIyRC;0 = 0;!3;!3
