0;134 = 0;xFi1Z8t8GHxwTe8e4UQVZhN1Y4qUtzwG3IBwO9wy;kO0PBB7OOpof3RrugS76glD4hQeTBGYOYX2VfCnl
XNg6M9rI11QYtsQhKnkpllZf3sh998UQgnlrHef0;28 = 0;!2;!5
hocjSIFhEdc8giM7MfT43qjZ6kyh90UYMurgTiYT;32 = 0;!2;XNg6M9rI11QYtsQhKnkpllZf3sh998UQgnlrHef0
kO0PBB7OOpof3RrugS76glD4hQeTBGYOYX2VfCnl;395 = 0;!2;hocjSIFhEdc8giM7MfT43qjZ6kyh90UYMurgTiYT
xFi1Z8t8GHxwTe8e4UQVZhN1Y4qUtzwG3IBwO9wy;0 = 0;!2;!2
