0;300 = 0;NdOc9xqN6QyRj7hYfNh6lbwJaJ44ZBx1a7NENI9H;V5DW87HYLeSRM5KagHw409eyHpVSs2dw9QR1UYN1
KXKQYotxoeu8uCXtQZraXcLdABMyKUV60dUkk10L;59 = 0;!0;!4
SFyp9AYvmso4USt435LkHfVhJWuNnErfwIz4xPK9;25 = 0;!2;KXKQYotxoeu8uCXtQZraXcLdABMyKUV60dUkk10L
V5DW87HYLeSRM5KagHw409eyHpVSs2dw9QR1UYN1;48 = 0;!5;SFyp9AYvmso4USt435LkHfVhJWuNnErfwIz4xPK9
NdOc9xqN6QyRj7hYfNh6lbwJaJ44ZBx1a7NENI9H;0 = 0;!4;!4
