0;145 = 0;n8cy1vdDpjzlyBRLMaSBHn4N6J3cpvF4IbIJ4V2a;4B5l0LkfOWmLu8tiflJVQb32bflPzkDpdiENpzAz
oAf3uszpIJywxibQ8RXT6J3UDG1tWKUclp3xN9du;0 = 0;!2;!2
ky2OX7NV72rKM8tUAe5WHAooE2tb5GkHMUsSfe10;36 = 0;!1;oAf3uszpIJywxibQ8RXT6J3UDG1tWKUclp3xN9du
4B5l0LkfOWmLu8tiflJVQb32bflPzkDpdiENpzAz;33 = 0;!3;ky2OX7NV72rKM8tUAe5WHAooE2tb5GkHMUsSfe10
n8cy1vdDpjzlyBRLMaSBHn4N6J3cpvF4IbIJ4V2a;0 = 0;!1;!1
