0;319 = 0;hNImkMeJLWgOtLco7NeRVlyAy4OvoB6b5DvMKGRf;IV3eRmwlfJZfWjC061sYtxbevb64gYWDLHTWiZS7
AEaaPTHnHIwaNdmUElMLBjD4QzIXSqQvL6zeyK38;0 = 0;!2;!2
IZIMeOLsIegTgJLk4HJqsDMPYvkklLsl4DuJw6dI;399 = 0;!3;AEaaPTHnHIwaNdmUElMLBjD4QzIXSqQvL6zeyK38
HDEfp7iRQgDTHUM6ZCdrz0mbZ2ti8QkmYPHh0ZoW;28 = 0;!1;IZIMeOLsIegTgJLk4HJqsDMPYvkklLsl4DuJw6dI
WX1fnpIYdzUFsApHrXaBDeO49hIyKNxLzIEc8ILv;21 = 0;!2;HDEfp7iRQgDTHUM6ZCdrz0mbZ2ti8QkmYPHh0ZoW
IV3eRmwlfJZfWjC061sYtxbevb64gYWDLHTWiZS7;35 = 0;!3;WX1fnpIYdzUFsApHrXaBDeO49hIyKNxLzIEc8ILv
hNImkMeJLWgOtLco7NeRVlyAy4OvoB6b5DvMKGRf;0 = 0;!1;!1
