0;296 = 0;7gukWXh1fUTRiM8Fxq4bSoNRfEjv6aIcpQxWyqfs;fIac46BZ3Kmi5ZNwmOWEgl1KdWei50vDi1uTgITd
wSeNQuz1QpdkiobUgeLGvTijmaY3625YmVQ4mbY3;0 = 0;!4;!4
vdICDG2H3IiA3at9tHNUBB6MKjZJsWiIv2USHd85;261 = 0;!3;wSeNQuz1QpdkiobUgeLGvTijmaY3625YmVQ4mbY3
1aWyu4sc5nzRJ0EDJU9Kx6CwNKMqyNaM7zJGbh08;48 = 0;!5;vdICDG2H3IiA3at9tHNUBB6MKjZJsWiIv2USHd85
fIac46BZ3Kmi5ZNwmOWEgl1KdWei50vDi1uTgITd;28 = 0;!5;1aWyu4sc5nzRJ0EDJU9Kx6CwNKMqyNaM7zJGbh08
7gukWXh1fUTRiM8Fxq4bSoNRfEjv6aIcpQxWyqfs;0 = 0;!3;!3
