0;66 = 0;qdr1kwWJIKfcaqHfFBLk4I89xsb93jrbUWxx0FPe;2aMevnypiKIgTEW9znJiKL4UyYd6qEEc5iAcohNQ
2aMevnypiKIgTEW9znJiKL4UyYd6qEEc5iAcohNQ;0 = 0;!2;!2
qdr1kwWJIKfcaqHfFBLk4I89xsb93jrbUWxx0FPe;0 = 0;!3;!3
