0;257 = 0;VOocqTEhd6fixoVwZQBGh33CNtN7AafddPaQGL7k;3ErlluUiaoD1MbdevT0WLgIiQmG6zLOVOyNzjaL5
NVUINXAVSI1uuMw0GGuKwbHyUQ9Um4om0RAbTkGn;28 = 0;!4;!1
0Ob1Rh8F5VXoKFlaz5Ii2s2OVWaAWPf8uYITQuuk;22 = 0;!3;NVUINXAVSI1uuMw0GGuKwbHyUQ9Um4om0RAbTkGn
3ErlluUiaoD1MbdevT0WLgIiQmG6zLOVOyNzjaL5;34 = 0;!0;0Ob1Rh8F5VXoKFlaz5Ii2s2OVWaAWPf8uYITQuuk
VOocqTEhd6fixoVwZQBGh33CNtN7AafddPaQGL7k;0 = 0;!1;!1
