0;67 = 0;QQKpKxUCW3GsvXBJHMj4uD8N98UixViS0DrRThG6;ZA2SJInoA00PLOR9HC3QBMPkoxaww0wvf6NOek0K
zoBnGWOIhy9M77wKCNhX5NS2DsfeOMmZyfv7iRUy;0 = 0;!1;!1
aWrxabPD5ZDcugYvlILQ0WJl6qOB7a4Er8Epxe47;34 = 0;!2;zoBnGWOIhy9M77wKCNhX5NS2DsfeOMmZyfv7iRUy
ZA2SJInoA00PLOR9HC3QBMPkoxaww0wvf6NOek0K;35 = 0;!1;aWrxabPD5ZDcugYvlILQ0WJl6qOB7a4Er8Epxe47
QQKpKxUCW3GsvXBJHMj4uD8N98UixViS0DrRThG6;0 = 0;!2;!2
