0;69 = 0;VMMHDE8s3NXedSEwRJXnhJ7gCYjyR8a9TEuQRdP1;dYQEIf1aVSiFDX4dTcwueiThDEsbYAjycSorPMNR
dYQEIf1aVSiFDX4dTcwueiThDEsbYAjycSorPMNR;0 = 0;!2;!2
VMMHDE8s3NXedSEwRJXnhJ7gCYjyR8a9TEuQRdP1;0 = 0;!1;!1
