0;152 = 0;fIqWVAg0TnGvwQ0up09STedaiCxrlehVrvAYRN49;tMLjvm72oy1ZWSO8lmbXWQnnKX4n6XPfLNXwiF2w
77QeBNvk5UYedPDex1ZrLlRWLkCxGjzbfGYfEUiK;0 = 0;!3;!3
qDQfoooFEFS7w9h5dUu1xFpfqxKZP6Af6KU4OzmY;392 = 0;!4;77QeBNvk5UYedPDex1ZrLlRWLkCxGjzbfGYfEUiK
lhYb9IliHzw9IAtGqjl7TXzWiVDgXMPQH5oNVKow;48 = 0;!3;qDQfoooFEFS7w9h5dUu1xFpfqxKZP6Af6KU4OzmY
tMLjvm72oy1ZWSO8lmbXWQnnKX4n6XPfLNXwiF2w;395 = 0;!4;lhYb9IliHzw9IAtGqjl7TXzWiVDgXMPQH5oNVKow
fIqWVAg0TnGvwQ0up09STedaiCxrlehVrvAYRN49;0 = 0;!3;!3
