1;389;397751;70.722;8.545;Drama;US#US;US
2;62;12000000;77.925;8.073;Science Fiction#Mystery#Adventure;GB#US;US#GB
3;20453;9000000;30.586;8;Drama#Comedy;IN#IN;IN
4;453;58000000;49.376;7.9;Drama#Romance;US#US#US;US
5;185;2200000;63.517;8.2;Science Fiction#Crime;US#GB#GB#GB;US
6;702;1800000;30.004;7.6;Drama#Thriller;#US;US
7;348;11000000;150.935;8.157;Horror#Science Fiction;US#US;US
8;705;1400000;22.181;8.1;Drama;US;US
9;143;1448864;30.527;7.758;Drama#War;US;US
10;279;18000000;34.542;8.031;History#Music#Drama;US;US
11;14;15000000;61.239;8;Drama;US#US;US
12;73;20000000;46.55;8.344;Drama;US##;US
13;55;2000000;32.55;7.6;Drama#Thriller;MX#MX;MX
14;93;2000000;22.47;7.8;Crime#Drama#Mystery;US#US;US
15;703;4000000;32.678;7.7;Comedy#Drama#Romance;US#US;US
16;28;31500000;65.041;8.3;Drama#War;US#US;US
17;212;1120175;21.03;7.6;Comedy#Crime;US;US
18;105;19000000;93.368;8.3;Adventure#Comedy#Science Fiction;US#US;US
19;3175;11000000;37.881;8;Drama#Romance#War#History;US#GB#GB;GB
20;272;150000000;99.208;7.709;Action#Crime#Drama;US#US#GB#US#;US
21;10020;25000000;150.485;7.736;Romance#Family#Animation#Fantasy;US#US#US;US
22;76;2500000;37.659;8;Drama#Romance;US#US#AT;US
23;665;15000000;60.865;7.881;History#Drama#Adventure#Action;US;US
24;44214;13000000;62.29;7.7;Drama#Thriller#Horror;US#US#US#US#US;US
25;78;28000000;78.944;7.9;Science Fiction#Drama#Thriller;HK#US#US;US
26;197;72000000;54.991;7.9;Action#Drama#History#War;GB#US#;US
27;642;6000000;42.636;7.615;Western#Adventure;US#US#US#US;US
28;289;878000;39.376;8.2;Drama#Romance;US;US
29;524;50000000;43.617;8;Crime#Drama;US##FR#US;US
30;829;6000000;53.931;7.9;Crime#Drama#Mystery#Thriller;US#US#US;US
31;598;3300000;64.157;8.4;Drama#Crime;BR#BR#FR#DE#BR#FR;BR
32;15;839727;47.858;8.008;Mystery#Drama;#US;US
33;901;1500000;23.035;8.281;Comedy#Drama#Romance;US;US
34;903;3200000;37.445;7.73;Action#Drama#Crime;US#US;US
35;562;28000000;43.929;7.793;Action#Thriller;US#US#US;US
36;17654;30000000;38.142;7.447;Science Fiction;US#US#NZ#;US
37;68718;100000000;95.894;8.181;Drama#Western;US#US;US
38;968;1800000;33.975;7.8;Crime#Drama#Thriller;#US;US
39;141;4500000;50.651;7.8;Fantasy#Drama#Mystery;US###;US
40;996;927262;32.241;8.114;Crime#Thriller;US;US
41;935;1800000;56.923;8.119;Comedy#War;GB;GB
42;1417;19000000;52.195;7.8;Fantasy#Drama#War;ES#US#MX#ES;FR#MX#ES
43;38;20000000;86.214;8.1;Science Fiction#Drama#Romance;US#US#US;US
44;5961;6000000;22.361;7.8;Fantasy#Drama#Mystery;SE#SE#SE#FR##DE;FR#DE#SE
45;275;7000000;50.586;7.9;Crime#Drama#Thriller;US#GB;US
46;309;1300000;23.766;7.7;Drama;DK#SE#DK;DK
47;550;63000000;106.668;8.439;Drama;US#US#US#US#DE;US
48;12;94000000;117.336;7.819;Animation#Family;US;US
49;13;55000000;187.629;8.472;Comedy#Drama#Romance;US##;US
50;600;30000000;62.998;8.1;Drama#War;US#GB#US;US
51;783;22000000;21.253;7.6;Drama#History;GB##US#IN#US;US#GB
52;98;103000000;152.294;8.2;Action#Drama#Adventure;US#GB#US#GB#US;US
53;770;4000000;49.05;7.9;Drama#War#Romance;US#US;US
54;489;10000000;148.253;8.16;Drama;US#US#;US
55;769;25000000;85.398;8.5;Drama#Crime;US;US
56;13223;33000000;53.193;8;Drama;#US#US#US#US##US;US
57;137;14600000;53.782;7.608;Romance#Fantasy#Drama#Comedy;US;US
58;12445;125000000;181.466;8.1;Fantasy#Adventure;US#GB;GB
59;11787;0;32.917;7.7;Comedy#Fantasy;US;US
60;949;60000000;90.958;7.9;Action#Crime#Drama;US#US#US;US
61;288;730000;29.607;7.7;Western#Thriller;US#US;US
62;205;17500000;23.346;7.7;Drama#History#War;US#US#ZA#US##GB#GB#IT;US#IT#GB#ZA
63;10191;165000000;134.651;7.8;Fantasy#Adventure#Animation#Family;US;US
64;429;1200000;90.759;8.5;Western;US#IT#ES#DE;IT
65;7984;13000000;24.98;7.902;Drama;IE#US;IE#GB
66;46738;6800000;33.042;8.1;Drama#War#Mystery;FR##CA;CA
67;27205;160000000;125.398;8.368;Action#Science Fiction#Adventure;US#GB#US;US#GB
68;89;48000000;52.354;7.8;Adventure#Action;US#US;US
69;10775;125000;28.024;7.8;Drama#Action#Thriller#Crime#Mystery;HK#HK;HK
70;16869;70000000;75.805;8.2;Drama#Thriller#War;US#US#DE;US
71;5915;15000000;33.469;7.8;Adventure#Drama;US#US#US#;US
72;77338;13000000;53.475;8.277;Drama#Comedy;FR#FR#FR#FR#FR;FR
73;3078;325000;25.14;7.8;Comedy#Romance;US;US
74;1585;3180000;56.403;8.275;Drama#Family#Fantasy;US;US
75;103663;3800000;36.901;8.1;Drama;SE#DK#SE;DK
76;578;7000000;111.972;7.664;Horror#Thriller#Adventure;US#US;US
77;329;63000000;40.956;7.952;Adventure#Science Fiction;US#US;US
78;81;1000000;41.072;7.9;Adventure#Animation#Fantasy;JP;JP
79;24;30000000;74.854;8;Action#Crime;US#US#;US
80;2118;35000000;31.72;7.796;Crime#Mystery#Thriller;US#US#US;US
81;947;15000000;83.458;8;Adventure#History#War;GB;GB
82;87827;120000000;45.064;7.4;Adventure#Drama;US#US#GB#TW#US#IN#GB#GB;US
83;100;1350000;23.869;8.1;Comedy#Crime;US##GB#US#GB;GB
84;832;0;29.537;8.1;Drama#Thriller#Crime;DE;DE
85;24238;8240000;59.889;7.8;Animation#Comedy#Drama;AU;AU
86;77;9000000;35.233;8.2;Mystery#Thriller;US#US#US#;US
87;19;5300000;31.635;8.1;Drama#Science Fiction;DE;DE
88;70;30000000;34.106;7.955;Drama;US#US#CH#US#US;US
89;3082;1500000;26.608;8.293;Comedy#Drama#Romance;US;US
90;128;23500000;91.772;8.3;Adventure#Fantasy#Animation;JP#JP#JP##JP#JP#JP;JP
91;585;115000000;246.932;7.8;Animation#Comedy#Family;US;US
92;762;400000;33.031;7.8;Adventure#Comedy#Fantasy;#GB#GB;GB
93;583;4000000;54.44;7.8;Comedy;GB#;GB
94;3083;1500000;30.23;7.9;Comedy#Drama;US;US
95;322;25000000;67.077;7.7;Thriller#Crime#Drama#Mystery;US#US#US#US;US
96;10774;3800000;21.412;7.8;Drama;US;US
97;6977;25000000;59.051;7.9;Crime#Drama#Thriller;US#US#US#US;US
98;213;4000000;28.662;7.983;Thriller#Adventure;US;US
99;303;2000000;26.682;7.7;Thriller#Romance#Mystery;US#US;US
100;11216;5000000;58.125;8.4;Drama#Romance;IT##FR#FR;IT
101;654;910000;25.488;7.924;Crime#Drama#Romance;US#GB;US
102;311;30000000;60.848;8.413;Drama#Crime;US#US#IT#US#US;US#IT
103;510;3000000;62.143;8.4;Drama;#US;US
104;5924;12000000;43.988;7.8;Crime#Drama;US##;US
105;975;935000;40.842;8.3;War#Drama#History;US#US#US;US
106;391;200000;41.978;7.8;Western;IT#ES#DE;IT
107;797;0;24.612;8.2;Drama;SE;SE
108;22;140000000;163.432;7.806;Adventure#Fantasy#Action;US#US;US
109;792;6000000;40.329;7.741;Drama#War#Action;GB##US#US#IN;US
110;539;806947;64.712;8.431;Horror#Thriller#Mystery;US;US
111;680;8500000;193.234;8.5;Thriller#Crime;US#US#US;US
112;1578;18000000;24.538;7.932;Drama;US#US;US
113;85;18000000;78.037;7.927;Adventure#Action;US#US;US
114;380;25000000;40.84;7.8;Drama;US#US#US;US
115;11645;11500005;21.431;8.1;Action#Drama#History;JP#FR#JP#JP;JP
116;2062;150000000;127.441;7.8;Animation#Comedy#Family#Fantasy;US#US;US
117;567;1000000;36.349;8.4;Thriller#Mystery;US#;US
118;223;1288000;19.924;7.9;Mystery#Romance#Thriller#Drama;US;US
119;641;4500000;21.938;8;Crime#Drama;US#US#US;US
120;500;1200000;69.261;8.123;Crime#Thriller;US#;US
121;1366;1000000;69.177;7.8;Drama;US;US
122;804;1500000;34.775;7.9;Romance#Comedy#Drama;US;US
123;1580;1500000;21.272;7.9;Thriller#Crime#Drama;US;US
124;805;3200000;40.584;7.83;Drama#Horror#Thriller;US;US
125;857;70000000;91.024;8.2;Drama#History#War;US#US#US#US;US
126;111;25000000;123.01;8.165;Action#Crime#Drama;US#US;US
127;424;22000000;82.748;8.6;Drama#History#War;US;US
128;807;33000000;79.014;8.4;Crime#Mystery#Thriller;US##US;US
129;11324;80000000;117.525;8.203;Drama#Thriller#Mystery;US#US#US#US;US
130;187;40000000;37.41;7.457;Thriller#Action#Crime;US#US#US;US
131;872;2540800;34.343;8.2;Comedy#Romance;US;US
132;993;3500000;14.675;7.7;Thriller#Mystery#Crime#Comedy;US;GB#US
133;12405;15000000;36.084;7.732;Drama#Romance;GB#GB;GB
134;107;10000000;51.175;7.8;Crime#Comedy;GB#US#US;GB
135;239;2883848;44.834;8.1;Comedy#Romance#Crime;US;US
